iteration,bestlobjval,lobjval,fobjval,lz1,lz2,tot_runtime,gapf
1.0,5668221.232933333,5668221.232933333,23716.865414543652,18338.57293333333,5649882.66,100.14500021934509,0.0007090143942125354
2.0,5668221.232933333,5668221.232933334,23716.865414543652,18338.57293333333,5649882.660000001,100.04299998283386,0.00074337284133543
3.0,5667916.301422222,5667916.301422222,23717.58918674283,18398.132533333333,5649518.168888888,100.09700012207031,0.0009263169428633733
4.0,5667916.301422222,5668462.508933334,23719.05133324608,18362.10893333334,5650100.4,100.15199995040894,0.0009601511498964368
5.0,5667916.301422222,5668216.859259983,23717.06664277419,18441.359270428642,5649775.499989554,100.08200001716614,0.0009027993394362423
6.0,5667916.301422222,5668048.7592,23717.066651690486,18441.3592,5649607.4,100.03200006484985,0.0009744365752418256
7.0,5667916.301422222,5668298.297822222,23716.86541454365,18338.572933333333,5649959.724888889,100.0719997882843,0.0009860758503707952
8.0,5667916.301422222,5668139.498711112,23717.285452892065,18335.831599999998,5649803.667111112,101.50799989700317,0.0009915829839120536
9.0,5667916.301422222,5668148.752933333,23716.86541454365,18338.572933333355,5649810.18,100.13299989700317,0.0007780156576976848
10.0,5667916.301422222,5668304.139644445,23717.066651690482,18441.3592,5649862.780444445,100.11500000953674,0.0008043694683449497
