lobjval,fobjval,lz1,lz2,tot_runtime,gapf,best_it,list_lObj,list_fObj,list_lZ1s,list_lZ2s,list_runtime,improvementHeuristic
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733793.0701045042,23716.86541454364,170640.39010450416,563152.68,100.0479998588562,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,736704.0367057704,23717.066651690482,174142.59670577035,562561.4400000001,101.49300003051758,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733988.1353588088,23718.525050674092,171027.45535880877,562960.68,100.1010000705719,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733347.7501045043,23716.86541454365,170640.39010450416,562707.3600000001,100.03999996185303,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,736878.1478168885,23717.066651690842,174142.59670577728,562735.5511111112,100.04100012779236,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,737025.0233724369,23717.066651690482,174142.5967057704,562882.4266666665,100.11100006103516,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733462.5804591579,23716.865409031605,170640.38967829265,562822.1907808653,100.04800009727478,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,736958.7362613259,23717.066651690482,174142.59670577035,562816.1395555555,100.117999792099,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,100.11699986457825,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733413.9856600597,23716.86541454365,170640.39010450416,562773.5955555555,100.0389997959137,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733276.7101045041,23716.86541454365,170640.39010450416,562636.32,100.08999991416931,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,735467.5576415727,23717.589186742833,173172.3736415727,562295.184,100.08800005912781,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733482.6012647463,23716.86541180107,170640.38989219765,562842.2113725486,100.29099988937378,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733354.1101045043,23716.86541454365,170640.39010450416,562713.7200000001,100.12599992752075,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,735583.0376415726,23717.589186742833,173172.3736415727,562410.664,100.02900004386902,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733662.5101045042,23716.865414543652,170640.39010450416,563022.12,100.03500008583069,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733383.1141045041,23716.865414543652,170640.39010450416,562742.7239999999,100.14299988746643,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,736700.4367057704,23717.066651690482,174142.59670577035,562557.8400000001,100.10000014305115,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733519.5856600598,23716.86541454365,170640.39010450416,562879.1955555556,100.09599995613098,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733578.9612156152,23716.86541454365,170640.3901045041,562938.5711111111,100.03500008583069,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,735547.8136415726,23717.589186742833,173172.3736415727,562375.44,100.11500000953674,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,735472.5065304615,23717.58918674283,173172.3736415727,562300.1328888888,100.04900002479553,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,736879.2377507021,23717.06664687193,174142.59775992483,562736.6399907772,100.11899995803833,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,737030.5651502146,23717.06665169048,174142.5967057703,562887.9684444444,100.17400002479553,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,736792.5367057704,23717.066651690482,174142.59670577032,562649.9400000001,100.08500003814697,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733247.1901045042,23716.86541454365,170640.39010450421,562606.8,100.16400003433228,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,736755.4967057704,23717.066651690486,174142.59670577035,562612.9,100.04399991035461,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,736685.6767057704,23717.066651690482,174142.59670577032,562543.0800000001,100.03800010681152,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733529.5301045042,23716.86541454365,170640.39010450416,562889.14,100.10199999809265,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,736903.112261326,23717.066651690468,174142.5967057704,562760.5155555556,100.04999995231628,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,736734.6367057704,23717.066651690482,174142.59670577035,562592.04,100.125,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733340.3452156154,23716.86541454365,170640.39010450416,562699.9551111112,100.12100005149841,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,735542.6903845958,23717.58918126499,173172.3748406422,562370.3155439536,100.12199997901917,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733377.1012156154,23716.86541454365,170640.39010450416,562736.7111111112,100.10799980163574,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733386.2612156154,23716.865414543652,170640.39010450421,562745.8711111112,100.1029999256134,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733567.1457181443,23716.865400309838,170640.3901915816,562926.7555265627,100.09300017356873,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,736604.9807057703,23717.066651690482,174142.59670577035,562462.384,100.07699990272522,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,736701.0367057703,23717.066651690482,174142.59670577032,562558.44,100.04999995231628,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,737101.5947098553,23717.893487185225,174402.2747098553,562699.32,100.12800002098083,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733438.1545489484,23716.865414543652,170640.39010450407,562797.7644444443,100.06799983978271,0.07949162015349205
