id,seed,DeltaRandom,DDecrease,D_t,B,LT,LS,LF,LL,delta,lobjval,lz1,lz2,fobjval,tot_runtime,gapf,best_it,himprov,solved
IB_B1171_D1000_F3_L4_T_5_seed_0,0,False,False,1000,1171,5,3,3,4,0.7,146508.91,145390.63,1118.28,57680.04,1.26,0.0,13.0,-1.0,True
IB_B1363_D1000_F3_L4_T_5_seed_1,1,False,False,1000,1363,5,3,3,4,0.7,68233.13,66539.85,1693.29,61112.92,2.22,0.0,20.0,-1.0,True
IB_B1312_D1000_F3_L4_T_5_seed_2,2,False,False,1000,1312,5,3,3,4,0.7,inf,inf,inf,inf,3.12,inf,-1.0,-1.0,True
IB_B1268_D1000_F3_L4_T_5_seed_3,3,False,False,1000,1268,5,3,3,4,0.7,inf,inf,inf,inf,3.03,inf,-1.0,-1.0,True
IB_B1372_D1000_F3_L4_T_5_seed_4,4,False,False,1000,1372,5,3,3,4,0.7,80129.62,78890.34,1239.28,58252.3,0.2,0.0,3.0,-1.0,True
IB_B1952_D1666_F3_L4_T_5_seed_0,0,False,False,1666,1952,5,3,3,4,0.7,40559.63,38409.0,2150.63,90926.0,0.64,0.0,7.0,-1.0,True
IB_B2272_D1666_F3_L4_T_5_seed_1,1,False,False,1666,2272,5,3,3,4,0.7,inf,inf,inf,inf,3.36,inf,-1.0,-1.0,True
IB_B2188_D1666_F3_L4_T_5_seed_2,2,False,False,1666,2188,5,3,3,4,0.7,inf,inf,inf,inf,3.01,inf,-1.0,-1.0,True
IB_B2112_D1666_F3_L4_T_5_seed_3,3,False,False,1666,2112,5,3,3,4,0.7,232583.49,230408.31,2175.18,100210.56,2.39,0.0,25.0,-1.0,True
IB_B2286_D1666_F3_L4_T_5_seed_4,4,False,False,1666,2286,5,3,3,4,0.7,148757.58,145823.87,2933.71,96860.56,0.66,0.0,7.0,-1.0,True
IB_B2734_D2333_F3_L4_T_5_seed_0,0,False,False,2333,2734,5,3,3,4,0.7,inf,inf,inf,inf,3.01,inf,-1.0,-1.0,True
IB_B3182_D2333_F3_L4_T_5_seed_1,1,False,False,2333,3182,5,3,3,4,0.7,376313.16,373580.06,2733.1,145010.39,0.72,0.0,7.0,-1.0,True
IB_B3064_D2333_F3_L4_T_5_seed_2,2,False,False,2333,3064,5,3,3,4,0.7,inf,inf,inf,inf,3.16,inf,-1.0,-1.0,True
IB_B2960_D2333_F3_L4_T_5_seed_3,3,False,False,2333,2960,5,3,3,4,0.7,inf,inf,inf,inf,2.92,inf,-1.0,-1.0,True
