id,seed,DeltaRandom,DDecrease,D_t,B,LT,LS,LF,LL,delta,lobjval,lz1,lz2,fobjval,tot_runtime,gapf,best_it,himprov,solved
IB_B1171_D1000_F3_L4_T_5_seed_0,0,False,False,1000,1171,5,3,3,4,0.7,88144.73,86977.0,1167.73,54401.0,2.16,0.0,25.0,-inf,True
IB_B1363_D1000_F3_L4_T_5_seed_1,1,False,False,1000,1363,5,3,3,4,0.7,139298.96,137985.0,1313.96,59181.0,2.14,0.0,4.0,-inf,True
IB_B1312_D1000_F3_L4_T_5_seed_2,2,False,False,1000,1312,5,3,3,4,0.7,121943.78,120651.92,1291.86,60097.02,1.71,0.0,26.0,-inf,True
IB_B1268_D1000_F3_L4_T_5_seed_3,3,False,False,1000,1268,5,3,3,4,0.7,143125.12,141865.95,1259.17,60554.45,1.52,0.0,5.0,-inf,True
IB_B1372_D1000_F3_L4_T_5_seed_4,4,False,False,1000,1372,5,3,3,4,0.7,1372.0,0.0,1372.0,63402.0,1.35,0.0,6.0,0.0,True
IB_B1952_D1666_F3_L4_T_5_seed_0,0,False,False,1666,1952,5,3,3,4,0.7,55052.0,53100.0,1952.0,90677.0,1.83,0.0,2.0,-inf,True
IB_B2272_D1666_F3_L4_T_5_seed_1,1,False,False,1666,2272,5,3,3,4,0.7,231933.8,229698.0,2235.8,98667.0,2.21,0.0,3.0,-inf,True
IB_B2188_D1666_F3_L4_T_5_seed_2,2,False,False,1666,2188,5,3,3,4,0.7,201693.44,199540.19,2153.25,100107.89,1.74,0.0,28.0,-inf,True
IB_B2112_D1666_F3_L4_T_5_seed_3,3,False,False,1666,2112,5,3,3,4,0.7,238500.9,236403.92,2096.98,100921.95,1.61,0.0,5.0,-inf,True
IB_B2286_D1666_F3_L4_T_5_seed_4,4,False,False,1666,2286,5,3,3,4,0.7,2286.0,0.0,2286.0,105634.0,1.06,0.0,1.0,0.0,True
IB_B2734_D2333_F3_L4_T_5_seed_0,0,False,False,2333,2734,5,3,3,4,0.7,76897.0,74163.0,2734.0,126928.0,2.52,0.0,23.0,-inf,True
IB_B3182_D2333_F3_L4_T_5_seed_1,1,False,False,2333,3182,5,3,3,4,0.7,324622.64,321541.0,3081.64,138139.0,2.75,0.0,28.0,-inf,True
IB_B3064_D2333_F3_L4_T_5_seed_2,2,False,False,2333,3064,5,3,3,4,0.7,281023.0,278001.99,3021.01,140140.18,2.28,0.0,29.0,-inf,True
IB_B2960_D2333_F3_L4_T_5_seed_3,3,False,False,2333,2960,5,3,3,4,0.7,365980.61,363021.58,2959.02,139423.98,1.63,0.0,2.0,-inf,True
IB_B3204_D2333_F3_L4_T_5_seed_4,4,False,False,2333,3204,5,3,3,4,0.7,3204.0,0.0,3204.0,147890.0,1.11,0.0,1.0,0.0,True
IB_B3907_D3333_F3_L4_T_5_seed_0,0,False,False,3333,3907,5,3,3,4,0.7,109989.0,106082.0,3907.0,181368.0,2.83,0.0,24.0,-inf,True
IB_B4547_D3333_F3_L4_T_5_seed_1,1,False,False,3333,4547,5,3,3,4,0.7,469355.28,465013.92,4341.37,197369.87,2.01,0.0,3.0,-inf,True
IB_B4380_D3333_F3_L4_T_5_seed_2,2,False,False,3333,4380,5,3,3,4,0.7,405363.13,401047.56,4315.57,200312.11,1.54,0.0,4.0,-inf,True
IB_B4230_D3333_F3_L4_T_5_seed_3,3,False,False,3333,4230,5,3,3,4,0.7,474223.21,470083.39,4139.82,202034.05,1.66,0.0,3.0,-inf,True
IB_B4578_D3333_F3_L4_T_5_seed_4,4,False,False,3333,4578,5,3,3,4,0.7,4578.0,0.0,4578.0,211302.0,1.08,0.0,1.0,0.0,True
IB_B1473_D1000_F3_L8_T_5_seed_0,0,False,False,1000,1473,5,3,3,8,0.7,1473.0,0.0,1473.0,62802.0,1.53,0.0,1.0,0.0,True
IB_B1628_D1000_F3_L8_T_5_seed_1,1,False,False,1000,1628,5,3,3,8,0.7,1628.0,0.0,1628.0,54648.0,1.51,0.0,1.0,0.0,True
IB_B1557_D1000_F3_L8_T_5_seed_2,2,False,False,1000,1557,5,3,3,8,0.7,1557.0,0.0,1557.0,62075.0,1.51,0.0,1.0,0.0,True
IB_B1452_D1000_F3_L8_T_5_seed_3,3,False,False,1000,1452,5,3,3,8,0.7,1452.0,0.0,1452.0,49441.0,1.51,0.0,1.0,0.0,True
IB_B1548_D1000_F3_L8_T_5_seed_4,4,False,False,1000,1548,5,3,3,8,0.7,1548.0,0.0,1548.0,57110.0,1.51,0.0,1.0,0.0,True
IB_B2456_D1666_F3_L8_T_5_seed_0,0,False,False,1666,2456,5,3,3,8,0.7,2456.0,0.0,2456.0,104673.0,1.47,0.0,1.0,0.0,True
IB_B2713_D1666_F3_L8_T_5_seed_1,1,False,False,1666,2713,5,3,3,8,0.7,2713.0,0.0,2713.0,91103.0,1.48,0.0,1.0,0.0,True
IB_B2596_D1666_F3_L8_T_5_seed_2,2,False,False,1666,2596,5,3,3,8,0.7,2596.0,0.0,2596.0,103450.0,1.54,0.0,1.0,0.0,True
IB_B2420_D1666_F3_L8_T_5_seed_3,3,False,False,1666,2420,5,3,3,8,0.7,2420.0,0.0,2420.0,82416.0,1.53,0.0,1.0,0.0,True
IB_B2581_D1666_F3_L8_T_5_seed_4,4,False,False,1666,2581,5,3,3,8,0.7,2581.0,0.0,2581.0,95170.0,1.52,0.0,1.0,0.0,True
IB_B3441_D2333_F3_L8_T_5_seed_0,0,False,False,2333,3441,5,3,3,8,0.7,3441.0,0.0,3441.0,146546.0,1.51,0.0,1.0,0.0,True
IB_B3801_D2333_F3_L8_T_5_seed_1,1,False,False,2333,3801,5,3,3,8,0.7,3801.0,0.0,3801.0,127557.0,1.52,0.0,1.0,0.0,True
IB_B3637_D2333_F3_L8_T_5_seed_2,2,False,False,2333,3637,5,3,3,8,0.7,3637.0,0.0,3637.0,144833.0,1.79,0.0,5.0,0.0,True
