id,seed,DeltaRandom,DDecrease,D_t,B,LT,LS,LF,LL,delta,lobjval,lz1,lz2,fobjval,tot_runtime,gapf,best_it,himprov,solved
IR_B3000_D1000_F3_L4_T_5_seed_0,0,False,False,1000,3000,5,3,3,4,0.7,2182.72,0.0,2182.72,54943.0,3.88,0.0,10,0.0,True
IR_B3000_D1000_F3_L4_T_5_seed_1,1,False,False,1000,3000,5,3,3,4,0.7,4118.69,2257.41,1861.28,62954.0,5.62,0.0,14,0.21,True
IR_B3000_D1000_F3_L4_T_5_seed_2,2,False,False,1000,3000,5,3,3,4,0.7,9208.41,7172.96,2035.45,66607.34,3.14,0.0,13,0.0,True
IR_B3000_D1000_F3_L4_T_5_seed_3,3,False,False,1000,3000,5,3,3,4,0.7,1578.04,0.0,1578.04,64789.0,4.03,0.0,10,0.0,True
IR_B3000_D1000_F3_L4_T_5_seed_4,4,False,False,1000,3000,5,3,3,4,0.7,2014.79,0.0,2014.79,63402.0,2.09,0.0,9,0.0,True
IR_B5000_D1666_F3_L4_T_5_seed_0,0,False,False,1666,5000,5,3,3,4,0.7,14744.52,9794.0,4950.52,91411.0,7.34,0.0,18,0.0,True
IR_B5000_D1666_F3_L4_T_5_seed_1,1,False,False,1666,5000,5,3,3,4,0.7,11923.34,7683.55,4239.79,104949.0,5.98,0.0,17,0.12,True
IR_B5000_D1666_F3_L4_T_5_seed_2,2,False,False,1666,5000,5,3,3,4,0.7,3958.32,80.43,3877.88,111887.12,0.78,0.0,3,17.22,True
IR_B5000_D1666_F3_L4_T_5_seed_3,3,False,False,1666,5000,5,3,3,4,0.7,3001.26,0.0,3001.26,107947.0,5.56,0.0,22,0.0,True
IR_B5000_D1666_F3_L4_T_5_seed_4,4,False,False,1666,5000,5,3,3,4,0.7,1954.92,0.0,1954.92,105634.0,0.42,0.0,3,0.0,True
IR_B7000_D2333_F3_L4_T_5_seed_0,0,False,False,2333,7000,5,3,3,4,0.7,3063.11,0.0,3063.11,128185.0,2.62,0.0,12,0.0,True
IR_B7000_D2333_F3_L4_T_5_seed_1,1,False,False,2333,7000,5,3,3,4,0.7,5130.24,0.0,5130.24,146935.0,5.05,0.0,11,0.66,True
IR_B7000_D2333_F3_L4_T_5_seed_2,2,False,False,2333,7000,5,3,3,4,0.7,6310.56,1183.92,5126.64,156565.01,4.65,0.0,18,0.0,True
IR_B7000_D2333_F3_L4_T_5_seed_3,3,False,False,2333,7000,5,3,3,4,0.7,3948.54,0.0,3948.54,151166.0,5.76,0.0,28,0.0,True
IR_B7000_D2333_F3_L4_T_5_seed_4,4,False,False,2333,7000,5,3,3,4,0.7,4731.57,0.0,4731.57,147890.0,4.69,0.0,27,0.0,True
IR_B10000_D3333_F3_L4_T_5_seed_0,0,False,False,3333,10000,5,3,3,4,0.7,26986.4,19529.0,7457.4,182835.0,2.21,0.0,7,0.0,True
IR_B10000_D3333_F3_L4_T_5_seed_1,1,False,False,3333,10000,5,3,3,4,0.7,29539.4,20814.31,8725.1,209902.0,3.53,0.0,13,0.16,True
IR_B10000_D3333_F3_L4_T_5_seed_2,2,False,False,3333,10000,5,3,3,4,0.7,12023.42,3619.36,8404.06,223558.45,4.84,0.0,16,0.0,True
IR_B10000_D3333_F3_L4_T_5_seed_3,3,False,False,3333,10000,5,3,3,4,0.7,6606.06,0.0,6606.06,215912.0,0.89,0.0,7,0.0,True
IR_B10000_D3333_F3_L4_T_5_seed_4,4,False,False,3333,10000,5,3,3,4,0.7,4491.22,0.0,4491.22,211302.0,1.46,0.0,9,0.0,True
IR_B3000_D1000_F3_L8_T_5_seed_0,0,False,False,1000,3000,5,3,3,8,0.7,1900.63,0.0,1900.63,62802.0,8.59,0.0,16,0.21,True
IR_B3000_D1000_F3_L8_T_5_seed_1,1,False,False,1000,3000,5,3,3,8,0.7,19104.8,16602.47,2502.33,54513.0,0.14,0.0,2,14.84,True
IR_B3000_D1000_F3_L8_T_5_seed_2,2,False,False,1000,3000,5,3,3,8,0.7,6176.87,3924.27,2252.61,61804.66,3.33,0.0,7,0.0,True
IR_B3000_D1000_F3_L8_T_5_seed_3,3,False,False,1000,3000,5,3,3,8,0.7,1416.8,0.0,1416.8,49441.0,4.09,0.0,5,0.0,True
IR_B3000_D1000_F3_L8_T_5_seed_4,4,False,False,1000,3000,5,3,3,8,0.7,1739.08,0.0,1739.08,57110.0,20.51,0.0,29,0.0,True
IR_B5000_D1666_F3_L8_T_5_seed_0,0,False,False,1666,5000,5,3,3,8,0.7,3656.15,0.0,3656.15,104673.0,13.82,0.0,24,0.0,True
IR_B5000_D1666_F3_L8_T_5_seed_1,1,False,False,1666,5000,5,3,3,8,0.7,2917.01,0.0,2917.01,91103.0,3.06,0.0,5,23.15,True
IR_B5000_D1666_F3_L8_T_5_seed_2,2,False,False,1666,5000,5,3,3,8,0.7,10444.91,5632.39,4812.52,103034.39,9.59,0.0,17,0.16,True
IR_B5000_D1666_F3_L8_T_5_seed_3,3,False,False,1666,5000,5,3,3,8,0.7,1585.17,0.0,1585.17,82416.0,7.99,0.0,14,0.0,True
IR_B5000_D1666_F3_L8_T_5_seed_4,4,False,False,1666,5000,5,3,3,8,0.7,6287.21,0.0,6287.21,95170.0,9.36,0.0,14,0.0,True
IR_B7000_D2333_F3_L8_T_5_seed_0,0,False,False,2333,7000,5,3,3,8,0.7,5580.22,0.0,5580.22,146546.0,2.74,0.0,7,0.0,True
IR_B7000_D2333_F3_L8_T_5_seed_1,1,False,False,2333,7000,5,3,3,8,0.7,4920.51,0.0,4920.51,127557.0,4.73,0.0,8,15.03,True
IR_B7000_D2333_F3_L8_T_5_seed_2,2,False,False,2333,7000,5,3,3,8,0.7,36889.8,30171.8,6718.0,143921.6,18.12,0.0,22,0.0,True
IR_B7000_D2333_F3_L8_T_5_seed_3,3,False,False,2333,7000,5,3,3,8,0.7,3065.96,0.0,3065.96,115383.0,15.27,0.0,28,0.0,True
IR_B7000_D2333_F3_L8_T_5_seed_4,4,False,False,2333,7000,5,3,3,8,0.7,4095.72,0.0,4095.72,133260.0,7.49,0.0,15,0.0,True
IR_B10000_D3333_F3_L8_T_5_seed_0,0,False,False,3333,10000,5,3,3,8,0.7,5781.79,0.0,5781.79,209347.0,20.39,0.0,26,0.0,True
IR_B10000_D3333_F3_L8_T_5_seed_1,1,False,False,3333,10000,5,3,3,8,0.7,6714.39,0.0,6714.39,182245.0,9.97,0.0,25,16.32,True
IR_B10000_D3333_F3_L8_T_5_seed_2,2,False,False,3333,10000,5,3,3,8,0.7,7790.75,0.0,7790.75,206924.0,5.31,0.0,11,0.0,True
IR_B10000_D3333_F3_L8_T_5_seed_3,3,False,False,3333,10000,5,3,3,8,0.7,2900.14,0.0,2900.14,164851.0,2.6,0.0,4,0.0,True
