id,seed,DeltaRandom,DDecrease,D_t,B,LT,LS,LF,LL,delta,lobjval,lz1,lz2,fobjval,tot_runtime,gapf,best_it,himprov,solved
IR_B3000_D1000_F3_L4_T_5_seed_0,0,False,False,1000,3000,5,3,3,4,0.7,3000.0,0.0,3000.0,54943.0,1.1,0.0,1,0.0,True
IR_B3000_D1000_F3_L4_T_5_seed_1,1,False,False,1000,3000,5,3,3,4,0.7,3000.0,0.0,3000.0,62954.0,1.14,0.0,1,0.0,True
IR_B3000_D1000_F3_L4_T_5_seed_2,2,False,False,1000,3000,5,3,3,4,0.7,3000.0,0.0,3000.0,67152.0,1.09,0.0,1,0.0,True
IR_B3000_D1000_F3_L4_T_5_seed_3,3,False,False,1000,3000,5,3,3,4,0.7,3000.0,0.0,3000.0,64789.0,1.32,0.0,4,0.0,True
IR_B3000_D1000_F3_L4_T_5_seed_4,4,False,False,1000,3000,5,3,3,4,0.7,3000.0,0.0,3000.0,63402.0,1.29,0.0,7,0.0,True
IR_B5000_D1666_F3_L4_T_5_seed_0,0,False,False,1666,5000,5,3,3,4,0.7,5000.0,0.0,5000.0,91577.0,1.12,0.0,1,0.0,True
IR_B5000_D1666_F3_L4_T_5_seed_1,1,False,False,1666,5000,5,3,3,4,0.7,5000.0,0.0,5000.0,104949.0,1.19,0.0,1,0.0,True
IR_B5000_D1666_F3_L4_T_5_seed_2,2,False,False,1666,5000,5,3,3,4,0.7,5000.0,0.0,5000.0,111888.0,1.1,0.0,1,0.0,True
IR_B5000_D1666_F3_L4_T_5_seed_3,3,False,False,1666,5000,5,3,3,4,0.7,5000.0,0.0,5000.0,107947.0,1.05,0.0,1,0.0,True
IR_B5000_D1666_F3_L4_T_5_seed_4,4,False,False,1666,5000,5,3,3,4,0.7,5000.0,0.0,5000.0,105634.0,1.32,0.0,24,0.0,True
IR_B7000_D2333_F3_L4_T_5_seed_0,0,False,False,2333,7000,5,3,3,4,0.7,7000.0,0.0,7000.0,128185.0,1.09,0.0,1,0.0,True
IR_B7000_D2333_F3_L4_T_5_seed_1,1,False,False,2333,7000,5,3,3,4,0.7,7000.0,0.0,7000.0,146935.0,1.14,0.0,1,0.0,True
IR_B7000_D2333_F3_L4_T_5_seed_2,2,False,False,2333,7000,5,3,3,4,0.7,7000.0,0.0,7000.0,156645.0,1.08,0.0,1,0.0,True
IR_B7000_D2333_F3_L4_T_5_seed_3,3,False,False,2333,7000,5,3,3,4,0.7,7000.0,0.0,7000.0,151166.0,1.34,0.0,11,0.0,True
IR_B7000_D2333_F3_L4_T_5_seed_4,4,False,False,2333,7000,5,3,3,4,0.7,7000.0,0.0,7000.0,147890.0,1.29,0.0,10,0.0,True
IR_B10000_D3333_F3_L4_T_5_seed_0,0,False,False,3333,10000,5,3,3,4,0.7,10000.0,0.0,10000.0,183166.0,1.12,0.0,1,0.0,True
IR_B10000_D3333_F3_L4_T_5_seed_1,1,False,False,3333,10000,5,3,3,4,0.7,10000.0,0.0,10000.0,209902.0,1.17,0.0,1,0.0,True
IR_B10000_D3333_F3_L4_T_5_seed_2,2,False,False,3333,10000,5,3,3,4,0.7,10000.0,0.0,10000.0,223803.0,1.11,0.0,1,0.0,True
IR_B10000_D3333_F3_L4_T_5_seed_3,3,False,False,3333,10000,5,3,3,4,0.7,10000.0,0.0,10000.0,215912.0,1.07,0.0,1,0.0,True
IR_B10000_D3333_F3_L4_T_5_seed_4,4,False,False,3333,10000,5,3,3,4,0.7,10000.0,0.0,10000.0,211302.0,1.08,0.0,1,0.0,True
IR_B3000_D1000_F3_L8_T_5_seed_0,0,False,False,1000,3000,5,3,3,8,0.7,3000.0,0.0,3000.0,62802.0,1.48,0.0,1,0.0,True
IR_B3000_D1000_F3_L8_T_5_seed_1,1,False,False,1000,3000,5,3,3,8,0.7,3000.0,0.0,3000.0,54648.0,1.46,0.0,1,0.0,True
IR_B3000_D1000_F3_L8_T_5_seed_2,2,False,False,1000,3000,5,3,3,8,0.7,3000.0,0.0,3000.0,62075.0,1.78,0.0,4,0.0,True
IR_B3000_D1000_F3_L8_T_5_seed_3,3,False,False,1000,3000,5,3,3,8,0.7,3000.0,0.0,3000.0,49441.0,1.76,0.0,4,0.0,True
IR_B3000_D1000_F3_L8_T_5_seed_4,4,False,False,1000,3000,5,3,3,8,0.7,3000.0,0.0,3000.0,57110.0,1.47,0.0,1,0.0,True
IR_B5000_D1666_F3_L8_T_5_seed_0,0,False,False,1666,5000,5,3,3,8,0.7,5000.0,0.0,5000.0,104673.0,1.79,0.0,24,0.0,True
IR_B5000_D1666_F3_L8_T_5_seed_1,1,False,False,1666,5000,5,3,3,8,0.7,5000.0,0.0,5000.0,91103.0,1.75,0.0,24,0.0,True
IR_B5000_D1666_F3_L8_T_5_seed_2,2,False,False,1666,5000,5,3,3,8,0.7,5000.0,0.0,5000.0,103450.0,1.49,0.0,1,0.0,True
IR_B5000_D1666_F3_L8_T_5_seed_3,3,False,False,1666,5000,5,3,3,8,0.7,5000.0,0.0,5000.0,82416.0,1.74,0.0,6,0.0,True
IR_B5000_D1666_F3_L8_T_5_seed_4,4,False,False,1666,5000,5,3,3,8,0.7,5000.0,0.0,5000.0,95170.0,1.45,0.0,1,0.0,True
IR_B7000_D2333_F3_L8_T_5_seed_0,0,False,False,2333,7000,5,3,3,8,0.7,7000.0,0.0,7000.0,146546.0,1.53,0.0,1,0.0,True
IR_B7000_D2333_F3_L8_T_5_seed_1,1,False,False,2333,7000,5,3,3,8,0.7,7000.0,0.0,7000.0,127557.0,1.47,0.0,1,0.0,True
IR_B7000_D2333_F3_L8_T_5_seed_2,2,False,False,2333,7000,5,3,3,8,0.7,7000.0,0.0,7000.0,144833.0,1.46,0.0,1,0.0,True
IR_B7000_D2333_F3_L8_T_5_seed_3,3,False,False,2333,7000,5,3,3,8,0.7,7000.0,0.0,7000.0,115383.0,1.79,0.0,28,0.0,True
IR_B7000_D2333_F3_L8_T_5_seed_4,4,False,False,2333,7000,5,3,3,8,0.7,7000.0,0.0,7000.0,133260.0,1.41,0.0,1,0.0,True
IR_B10000_D3333_F3_L8_T_5_seed_0,0,False,False,3333,10000,5,3,3,8,0.7,10000.0,0.0,10000.0,209347.0,1.52,0.0,1,0.0,True
IR_B10000_D3333_F3_L8_T_5_seed_1,1,False,False,3333,10000,5,3,3,8,0.7,10000.0,0.0,10000.0,182245.0,1.47,0.0,1,0.0,True
IR_B10000_D3333_F3_L8_T_5_seed_2,2,False,False,3333,10000,5,3,3,8,0.7,10000.0,0.0,10000.0,206924.0,1.79,0.0,6,0.0,True
IR_B10000_D3333_F3_L8_T_5_seed_3,3,False,False,3333,10000,5,3,3,8,0.7,10000.0,0.0,10000.0,164851.0,1.77,0.0,11,0.0,True
IR_B10000_D3333_F3_L8_T_5_seed_4,4,False,False,3333,10000,5,3,3,8,0.7,10000.0,0.0,10000.0,190363.0,1.45,0.0,1,0.0,True
IR_B3000_D1000_F3_L12_T_5_seed_0,0,False,False,1000,3000,5,3,3,12,0.7,2973.6,0.0,2973.6,67592.0,2.94,0.0,27,0.88,True
IR_B3000_D1000_F3_L12_T_5_seed_1,1,False,False,1000,3000,5,3,3,12,0.7,3000.0,0.0,3000.0,57630.0,2.53,0.0,25,0.0,True
IR_B3000_D1000_F3_L12_T_5_seed_2,2,False,False,1000,3000,5,3,3,12,0.7,3000.0,0.0,3000.0,71254.0,2.01,0.0,1,0.0,True
IR_B3000_D1000_F3_L12_T_5_seed_3,3,False,False,1000,3000,5,3,3,12,0.7,3000.0,0.0,3000.0,61996.0,1.95,0.0,1,0.0,True
IR_B3000_D1000_F3_L12_T_5_seed_4,4,False,False,1000,3000,5,3,3,12,0.7,3000.0,0.0,3000.0,61244.0,2.36,0.0,4,0.0,True
IR_B5000_D1666_F3_L12_T_5_seed_0,0,False,False,1666,5000,5,3,3,12,0.7,4955.2,0.0,4955.2,112686.0,2.72,0.0,30,0.9,True
IR_B5000_D1666_F3_L12_T_5_seed_1,1,False,False,1666,5000,5,3,3,12,0.7,5000.0,0.0,5000.0,96084.0,2.13,0.0,1,0.0,True
IR_B5000_D1666_F3_L12_T_5_seed_2,2,False,False,1666,5000,5,3,3,12,0.7,5000.0,0.0,5000.0,118782.0,2.16,0.0,1,0.0,True
IR_B5000_D1666_F3_L12_T_5_seed_3,3,False,False,1666,5000,5,3,3,12,0.7,5000.0,0.0,5000.0,103293.0,2.27,0.0,28,0.0,True
IR_B5000_D1666_F3_L12_T_5_seed_4,4,False,False,1666,5000,5,3,3,12,0.7,5000.0,0.0,5000.0,102067.0,2.32,0.0,5,0.0,True
IR_B7000_D2333_F3_L12_T_5_seed_0,0,False,False,2333,7000,5,3,3,12,0.7,7000.0,0.0,7000.0,157766.0,2.12,0.0,1,0.0,True
IR_B7000_D2333_F3_L12_T_5_seed_1,1,False,False,2333,7000,5,3,3,12,0.7,7000.0,0.0,7000.0,134488.0,2.07,0.0,1,0.0,True
IR_B7000_D2333_F3_L12_T_5_seed_2,2,False,False,2333,7000,5,3,3,12,0.7,7000.0,0.0,7000.0,166325.0,1.97,0.0,1,0.0,True
IR_B7000_D2333_F3_L12_T_5_seed_3,3,False,False,2333,7000,5,3,3,12,0.7,7000.0,0.0,7000.0,144642.0,2.28,0.0,8,0.0,True
IR_B7000_D2333_F3_L12_T_5_seed_4,4,False,False,2333,7000,5,3,3,12,0.7,7000.0,0.0,7000.0,142903.0,1.87,0.0,1,0.0,True
IR_B10000_D3333_F3_L12_T_5_seed_0,0,False,False,3333,10000,5,3,3,12,0.7,9911.2,0.0,9911.2,225400.0,2.61,0.0,27,0.89,True
IR_B10000_D3333_F3_L12_T_5_seed_1,1,False,False,3333,10000,5,3,3,12,0.7,10000.0,0.0,10000.0,192162.0,2.11,0.0,1,0.0,True
IR_B10000_D3333_F3_L12_T_5_seed_2,2,False,False,3333,10000,5,3,3,12,0.7,10000.0,0.0,10000.0,237601.0,2.0,0.0,1,0.0,True
IR_B10000_D3333_F3_L12_T_5_seed_3,3,False,False,3333,10000,5,3,3,12,0.7,10000.0,0.0,10000.0,206640.0,2.23,0.0,28,0.0,True
IR_B10000_D3333_F3_L12_T_5_seed_4,4,False,False,3333,10000,5,3,3,12,0.7,10000.0,0.0,10000.0,204161.0,2.3,0.0,28,0.0,True
IR_B3000_D1000_F3_L4_T_10_seed_0,0,False,False,1000,3000,10,3,3,4,0.7,3000.0,0.0,3000.0,115196.0,2.29,0.0,4,0.0,True
IR_B3000_D1000_F3_L4_T_10_seed_1,1,False,False,1000,3000,10,3,3,4,0.7,3000.0,0.0,3000.0,129229.0,2.26,0.0,4,0.0,True
IR_B3000_D1000_F3_L4_T_10_seed_2,2,False,False,1000,3000,10,3,3,4,0.7,3000.0,0.0,3000.0,117701.0,2.22,0.0,7,0.0,True
IR_B3000_D1000_F3_L4_T_10_seed_3,3,False,False,1000,3000,10,3,3,4,0.7,3000.0,0.0,3000.0,130719.0,1.85,0.0,1,0.0,True
IR_B3000_D1000_F3_L4_T_10_seed_4,4,False,False,1000,3000,10,3,3,4,0.7,3000.0,0.0,3000.0,127434.0,2.21,0.0,7,0.0,True
IR_B5000_D1666_F3_L4_T_10_seed_0,0,False,False,1666,5000,10,3,3,4,0.7,5000.0,0.0,5000.0,191977.0,2.28,0.0,11,0.0,True
IR_B5000_D1666_F3_L4_T_10_seed_1,1,False,False,1666,5000,10,3,3,4,0.7,5000.0,0.0,5000.0,215431.0,2.29,0.0,11,0.0,True
IR_B5000_D1666_F3_L4_T_10_seed_2,2,False,False,1666,5000,10,3,3,4,0.7,5000.0,0.0,5000.0,196144.0,1.83,0.0,1,0.0,True
IR_B5000_D1666_F3_L4_T_10_seed_3,3,False,False,1666,5000,10,3,3,4,0.7,5000.0,0.0,5000.0,217876.0,2.26,0.0,11,0.0,True
IR_B5000_D1666_F3_L4_T_10_seed_4,4,False,False,1666,5000,10,3,3,4,0.7,5000.0,0.0,5000.0,212314.0,2.21,0.0,4,0.0,True
IR_B7000_D2333_F3_L4_T_10_seed_0,0,False,False,2333,7000,10,3,3,4,0.7,7000.0,0.0,7000.0,268737.0,2.28,0.0,27,0.0,True
IR_B7000_D2333_F3_L4_T_10_seed_1,1,False,False,2333,7000,10,3,3,4,0.7,7000.0,0.0,7000.0,301591.0,2.29,0.0,27,0.0,True
